AREA,BFIHOST,FARL,FPEXT,LDP,PROPWET,RMED-1D,SAAR,Index Flood
0.413920451,0.38277635,0.807605634,0.359389002,0.596165289,0.375409836,0.428,0.292573176,0.2473821
0.105193944,0.426992288,0.895492958,0.24892057,0.139570248,0.336065574,0.386857143,0.226867628,0.107606698
0.122414041,0.569922879,0.866197183,0.568594705,0.192694215,0.178688525,0.298857143,0.112931411,0.102959996
0.159795784,0.372493573,0.694929577,0.176578411,0.233785124,0.349180328,0.424571429,0.313543032,0.164896686
0.223756145,0.36940874,0.888732394,0.460407332,0.295702479,0.559016393,0.400571429,0.307601573,0.261745697
0.11144866,0.268637532,0.812112676,0.440855397,0.168297521,0.270491803,0.399428571,0.191218873,0.115924586
0.248302198,0.531876607,0.823380282,0.625621181,0.269553719,0.257377049,0.318285714,0.147182176,0.130700793
0.112008706,0.325192802,0.9,0.29389002,0.181917355,0.204918033,0.344571429,0.122018349,0.107979822
0.112462326,0.311825193,0.9,0.186028513,0.16922314,0.663934426,0.588,0.54945391,0.145451615
0.215200181,0.348843188,0.548450704,0.335600815,0.315404959,0.637704918,0.607428571,0.537221494,0.263560538
0.478725242,0.225449871,0.812112676,0.256741344,0.404396694,0.480327869,0.391428571,0.259720402,0.809528722
0.135406753,0.320051414,0.787323944,0.436293279,0.198644628,0.204918033,0.370857143,0.136697248,0.112199408
0.131781286,0.78277635,0.830140845,0.267494908,0.21907438,0.283606557,0.407428571,0.23385758,0.106469602
0.106870592,0.222365039,0.895492958,0.173971487,0.132694215,0.624590164,0.42,0.29921363,0.123991039
0.10817911,0.614138817,0.886478873,0.173645621,0.133719008,0.309836066,0.423428571,0.227566623,0.110344272
0.275709544,0.341645244,0.751267606,0.241425662,0.401090909,0.532786885,0.489714286,0.382394059,0.279586261
0.107495191,0.240874036,0.9,0.140407332,0.143008264,0.585245902,0.382285714,0.183180428,0.108540713
0.101025878,0.381748072,0.9,0.1,0.111735537,0.38852459,0.432571429,0.337308869,0.104708352
0.122660043,0.490745501,0.787323944,0.21209776,0.160363636,0.519672131,0.432571429,0.253778943,0.141820321
0.125386994,0.366323907,0.886478873,0.242403259,0.197487603,0.61147541,0.390285714,0.319134993,0.166744568
